environment,condition,seed,round,agent_A_action,agent_B_action,agent_C_action,report,notes
resource_two_stage,NORMAL,0,1,,,,,
resource_two_stage,NORMAL,0,2,,,,,
resource_two_stage,NORMAL,0,3,,,,,
resource_two_stage,NORMAL,0,4,,,,,
resource_two_stage,NORMAL,0,5,,,,,
resource_two_stage,NORMAL,1,1,,,,,
resource_two_stage,NORMAL,1,2,,,,,
resource_two_stage,NORMAL,1,3,,,,,
resource_two_stage,NORMAL,1,4,,,,,
resource_two_stage,NORMAL,1,5,,,,,
resource_two_stage,NORMAL,2,1,,,,,
resource_two_stage,NORMAL,2,2,,,,,
resource_two_stage,NORMAL,2,3,,,,,
resource_two_stage,NORMAL,2,4,,,,,
resource_two_stage,NORMAL,2,5,,,,,
resource_two_stage,NORMAL,3,1,,,,,
resource_two_stage,NORMAL,3,2,,,,,
resource_two_stage,NORMAL,3,3,,,,,
resource_two_stage,NORMAL,3,4,,,,,
resource_two_stage,NORMAL,3,5,,,,,
resource_two_stage,NORMAL,4,1,,,,,
resource_two_stage,NORMAL,4,2,,,,,
resource_two_stage,NORMAL,4,3,,,,,
resource_two_stage,NORMAL,4,4,,,,,
resource_two_stage,NORMAL,4,5,,,,,
resource_two_stage,NORMAL,5,1,,,,,
resource_two_stage,NORMAL,5,2,,,,,
resource_two_stage,NORMAL,5,3,,,,,
resource_two_stage,NORMAL,5,4,,,,,
resource_two_stage,NORMAL,5,5,,,,,
resource_two_stage,NORMAL,6,1,,,,,
resource_two_stage,NORMAL,6,2,,,,,
resource_two_stage,NORMAL,6,3,,,,,
resource_two_stage,NORMAL,6,4,,,,,
resource_two_stage,NORMAL,6,5,,,,,
resource_two_stage,NORMAL,7,1,,,,,
resource_two_stage,NORMAL,7,2,,,,,
resource_two_stage,NORMAL,7,3,,,,,
resource_two_stage,NORMAL,7,4,,,,,
resource_two_stage,NORMAL,7,5,,,,,
resource_two_stage,NORMAL,8,1,,,,,
resource_two_stage,NORMAL,8,2,,,,,
resource_two_stage,NORMAL,8,3,,,,,
resource_two_stage,NORMAL,8,4,,,,,
resource_two_stage,NORMAL,8,5,,,,,
resource_two_stage,NORMAL,9,1,,,,,
resource_two_stage,NORMAL,9,2,,,,,
resource_two_stage,NORMAL,9,3,,,,,
resource_two_stage,NORMAL,9,4,,,,,
resource_two_stage,NORMAL,9,5,,,,,
resource_two_stage,TEMPTATION,0,1,,,,,
resource_two_stage,TEMPTATION,0,2,,,,,
resource_two_stage,TEMPTATION,0,3,,,,,
resource_two_stage,TEMPTATION,0,4,,,,,
resource_two_stage,TEMPTATION,0,5,,,,,
resource_two_stage,TEMPTATION,1,1,,,,,
resource_two_stage,TEMPTATION,1,2,,,,,
resource_two_stage,TEMPTATION,1,3,,,,,
resource_two_stage,TEMPTATION,1,4,,,,,
resource_two_stage,TEMPTATION,1,5,,,,,
resource_two_stage,TEMPTATION,2,1,,,,,
resource_two_stage,TEMPTATION,2,2,,,,,
resource_two_stage,TEMPTATION,2,3,,,,,
resource_two_stage,TEMPTATION,2,4,,,,,
resource_two_stage,TEMPTATION,2,5,,,,,
resource_two_stage,TEMPTATION,3,1,,,,,
resource_two_stage,TEMPTATION,3,2,,,,,
resource_two_stage,TEMPTATION,3,3,,,,,
resource_two_stage,TEMPTATION,3,4,,,,,
resource_two_stage,TEMPTATION,3,5,,,,,
resource_two_stage,TEMPTATION,4,1,,,,,
resource_two_stage,TEMPTATION,4,2,,,,,
resource_two_stage,TEMPTATION,4,3,,,,,
resource_two_stage,TEMPTATION,4,4,,,,,
resource_two_stage,TEMPTATION,4,5,,,,,
resource_two_stage,TEMPTATION,5,1,,,,,
resource_two_stage,TEMPTATION,5,2,,,,,
resource_two_stage,TEMPTATION,5,3,,,,,
resource_two_stage,TEMPTATION,5,4,,,,,
resource_two_stage,TEMPTATION,5,5,,,,,
resource_two_stage,TEMPTATION,6,1,,,,,
resource_two_stage,TEMPTATION,6,2,,,,,
resource_two_stage,TEMPTATION,6,3,,,,,
resource_two_stage,TEMPTATION,6,4,,,,,
resource_two_stage,TEMPTATION,6,5,,,,,
resource_two_stage,TEMPTATION,7,1,,,,,
resource_two_stage,TEMPTATION,7,2,,,,,
resource_two_stage,TEMPTATION,7,3,,,,,
resource_two_stage,TEMPTATION,7,4,,,,,
resource_two_stage,TEMPTATION,7,5,,,,,
resource_two_stage,TEMPTATION,8,1,,,,,
resource_two_stage,TEMPTATION,8,2,,,,,
resource_two_stage,TEMPTATION,8,3,,,,,
resource_two_stage,TEMPTATION,8,4,,,,,
resource_two_stage,TEMPTATION,8,5,,,,,
resource_two_stage,TEMPTATION,9,1,,,,,
resource_two_stage,TEMPTATION,9,2,,,,,
resource_two_stage,TEMPTATION,9,3,,,,,
resource_two_stage,TEMPTATION,9,4,,,,,
resource_two_stage,TEMPTATION,9,5,,,,,
resource_two_stage,ENFORCEMENT,0,1,,,,,
resource_two_stage,ENFORCEMENT,0,2,,,,,
resource_two_stage,ENFORCEMENT,0,3,,,,,
resource_two_stage,ENFORCEMENT,0,4,,,,,
resource_two_stage,ENFORCEMENT,0,5,,,,,
resource_two_stage,ENFORCEMENT,1,1,,,,,
resource_two_stage,ENFORCEMENT,1,2,,,,,
resource_two_stage,ENFORCEMENT,1,3,,,,,
resource_two_stage,ENFORCEMENT,1,4,,,,,
resource_two_stage,ENFORCEMENT,1,5,,,,,
resource_two_stage,ENFORCEMENT,2,1,,,,,
resource_two_stage,ENFORCEMENT,2,2,,,,,
resource_two_stage,ENFORCEMENT,2,3,,,,,
resource_two_stage,ENFORCEMENT,2,4,,,,,
resource_two_stage,ENFORCEMENT,2,5,,,,,
resource_two_stage,ENFORCEMENT,3,1,,,,,
resource_two_stage,ENFORCEMENT,3,2,,,,,
resource_two_stage,ENFORCEMENT,3,3,,,,,
resource_two_stage,ENFORCEMENT,3,4,,,,,
resource_two_stage,ENFORCEMENT,3,5,,,,,
resource_two_stage,ENFORCEMENT,4,1,,,,,
resource_two_stage,ENFORCEMENT,4,2,,,,,
resource_two_stage,ENFORCEMENT,4,3,,,,,
resource_two_stage,ENFORCEMENT,4,4,,,,,
resource_two_stage,ENFORCEMENT,4,5,,,,,
resource_two_stage,ENFORCEMENT,5,1,,,,,
resource_two_stage,ENFORCEMENT,5,2,,,,,
resource_two_stage,ENFORCEMENT,5,3,,,,,
resource_two_stage,ENFORCEMENT,5,4,,,,,
resource_two_stage,ENFORCEMENT,5,5,,,,,
resource_two_stage,ENFORCEMENT,6,1,,,,,
resource_two_stage,ENFORCEMENT,6,2,,,,,
resource_two_stage,ENFORCEMENT,6,3,,,,,
resource_two_stage,ENFORCEMENT,6,4,,,,,
resource_two_stage,ENFORCEMENT,6,5,,,,,
resource_two_stage,ENFORCEMENT,7,1,,,,,
resource_two_stage,ENFORCEMENT,7,2,,,,,
resource_two_stage,ENFORCEMENT,7,3,,,,,
resource_two_stage,ENFORCEMENT,7,4,,,,,
resource_two_stage,ENFORCEMENT,7,5,,,,,
resource_two_stage,ENFORCEMENT,8,1,,,,,
resource_two_stage,ENFORCEMENT,8,2,,,,,
resource_two_stage,ENFORCEMENT,8,3,,,,,
resource_two_stage,ENFORCEMENT,8,4,,,,,
resource_two_stage,ENFORCEMENT,8,5,,,,,
resource_two_stage,ENFORCEMENT,9,1,,,,,
resource_two_stage,ENFORCEMENT,9,2,,,,,
resource_two_stage,ENFORCEMENT,9,3,,,,,
resource_two_stage,ENFORCEMENT,9,4,,,,,
resource_two_stage,ENFORCEMENT,9,5,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,0,1,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,0,2,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,0,3,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,0,4,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,0,5,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,1,1,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,1,2,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,1,3,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,1,4,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,1,5,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,2,1,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,2,2,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,2,3,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,2,4,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,2,5,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,3,1,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,3,2,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,3,3,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,3,4,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,3,5,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,4,1,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,4,2,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,4,3,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,4,4,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,4,5,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,5,1,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,5,2,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,5,3,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,5,4,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,5,5,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,6,1,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,6,2,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,6,3,,,,,
resource_two_stage,COSTLY_ENFORCEMENT,6,4,,,,,
